'HubAveraging.edgeWorst_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.edge_budget_exponential' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartite_witness_disagreement' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.equal_budget_separation' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.contrast_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.contrast_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.contrast_neighbor_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.contrast_quadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartite_gap_le_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartite_degree_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartite_gap_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.equal_budget_separation_graph' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.pairUpdate_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.progress_ratio_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.vanishing_separation' depends on axioms: [propext, Classical.choice, Quot.sound]
